time,score,total,mode
2025-10-05 15:28:56,13.0,20,FAST
2025-10-05 15:29:00,13.0,20,FAST
2025-10-05 17:42:18,18,20,FAST
2025-10-06 01:27:30,20,20,FAST
2025-10-06 01:44:08,20,20,FAST
2025-10-06 01:56:00,7,20,FAST,20251006_015600
2025-10-06 02:03:29,0,20,FAST,20251006_020329
2025-10-06 02:04:43,0,20,FAST,20251006_020443
2025-10-06 09:32:58,0,10,FAST,20251006_093258
2025-10-06 09:34:01,0,10,FAST,20251006_093401
2025-10-06 09:52:39,0,20,FAST,20251006_095239
2025-10-06 09:52:55,0,20,FAST,20251006_095255
2025-10-06 11:19:21,2,10,FAST,20251006_111921
2025-10-06 11:19:56,4,10,FAST,20251006_111956
2025-10-06 11:28:31,3,10,FAST,20251006_112831
2025-10-06 11:31:01,2,10,FAST,20251006_113101
2025-10-06 11:37:50,5,10,FAST,20251006_113750
2025-10-06 11:38:12,2,10,FAST,20251006_113812
2025-10-06 11:39:19,3,10,FAST,20251006_113919
2025-10-06 12:08:14,4,10,FAST,20251006_120814
2025-10-06 12:28:09,1,10,FAST,20251006_122809
2025-10-06 14:45:37,3,10,FAST,20251006_144537
2025-10-06 16:43:28,1,10,FAST,20251006_164328
